,label,별점,참여,N_clicks,finish,pieces,episode,omnibus,story,daily,comic,fantasy,action,drama,pure,sensibility,thrill,historical,sports,영화,드라마,도서
70,꽃밭에솔,9.951451613,14077.58065,0.993527508,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
71,나는 귀머거리다,9.974129353,25091.0597,0.998381877,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
72,나는 너를 보았다,9.91,19309.6,0.993527508,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
73,나란의사 그런의사,9.85375,4270,0.96763754,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
74,나의 목소리를 들어라,9.937142857,20891.85714,0.993527508,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
75,나이스진타임,9.864530387,14172.51934,0.977346278,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
76,낚시신공,9.836,21831.6,0.778317152,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
77,날로 먹는 연애,9.463142857,16875,0.912621359,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
78,낢에게와요,9.883103448,4492.793103,0.982200647,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
79,낢이사는이야기,9.950897887,20017.01408,0.993527508,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
80,남기한엘리트만들기,9.9435,18174.4,0.991909385,1,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
81,낮에 뜨는 달,9.943333333,60482.66667,0.988673139,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
82,내 ID는 강남미인!,9.874,70649.6,0.974110032,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
83,내가 결혼할 때까지,9.835333333,1861.066667,0.975728155,1,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
84,내일은 럭키곰스타,9.531408451,1407.915493,0.922330097,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,내일은 웹툰,9.924545455,46282.09091,0.982200647,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,너와 너 사이,9.954,18196.48,0.991909385,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
87,네가 없는 세상,9.948888889,39223.44444,0.993527508,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
88,네로의 실험실,9.936666667,40192.33333,0.993527508,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
89,네버랜 연대기,9.415769231,3535.915385,0.944983819,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
90,네이버 앱피소드,9.726153846,46525.61538,0.941747573,1,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,녹두전,9.978308824,17639.68382,0.998381877,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
92,놓정동화,9.9368,11735.8,0.990291262,1,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
93,놓지마 정신줄,9.930194715,23871.73574,0.988673139,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
94,늘 푸른 찻집,9.964356436,17481.46535,0.995145631,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
95,닥터 프로스트,9.940909091,22016.27273,0.993527508,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
96,닥터 프로스트 시즌3,9.972790698,17461.02326,0.996763754,1,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
97,단군할배요,9.905352113,1765.619718,0.987055016,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
98,달수 이야기,9.95,44737.25,0.998381877,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
99,달콤한 인생,9.953888889,15727.74074,0.993527508,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
100,닭통령 계양반,8.475,21647.5,0.888349515,1,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
101,당신만 몰라!,9.96300813,22158.47154,0.995145631,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
102,대작,9.951428571,18570.42857,0.990291262,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
103,데모니악,9.938333333,20546.83333,0.993527508,1,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
104,도자기,9.808266667,613.9733333,0.96763754,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
105,돌아온 럭키짱,4.757,40551.45,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
106,동경소녀,9.705,897.5833333,0.948220065,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
